brand,category,price,product,review_avg_rating,review_count,url
Dermalogica,skincare,39,Special Cleansing Gel,4.6,2252,https://www.ulta.com/special-cleansing-gel?productId=VP12697
Sebastian,hair,40,Drench Conditioner,4.6,2144,https://www.ulta.com/drench-conditioner?productId=xlsImpprod4450479
Giorgio Armani,cologne,100,Acqua di Giò Absolu Eau de Parfum,4.8,1937,https://www.ulta.com/acqua-di-gio-absolu-eau-de-parfum?productId=xlsImpprod17941013
Giorgio Armani,cologne,88,Acqua di Giò Pour Homme Eau de Toilette,4.8,1751,https://www.ulta.com/acqua-di-gio-pour-homme-eau-de-toilette?productId=fs356346
Giorgio Armani,cologne,79,Emporio Armani Stronger With You Eau de Toilette,4.7,1623,https://www.ulta.com/emporio-armani-stronger-with-you-eau-de-toilette?productId=xlsImpprod16711001
Aveeno,body ,7.49,Daily Moisturizing Lotion,4.7,1456,https://www.ulta.com/daily-moisturizing-lotion?productId=prod5022101
Giorgio Armani,cologne,98,Armani Code Colonia Eau de Toilette,4.7,1444,https://www.ulta.com/armani-code-colonia-eau-de-toilette?productId=xlsImpprod16841009
Nioxin,hair,19.5,Scalp & Hair Leave-In Treatement System 4 (Color Treated Hair/Progressed Thinning),4.4,1102,https://www.ulta.com/scalp-hair-leave-in-treatement-system-4-color-treated-hairprogressed-thinning?productId=xlsImpprod4450391
Dermalogica,skincare,42,Active Moist,4.6,970,https://www.ulta.com/active-moist?productId=VP12690
Aveeno,body ,13.49,Eczema Therapy Moisturizing Cream,4.8,925,https://www.ulta.com/eczema-therapy-moisturizing-cream?productId=xlsImpprod2450063
Hempz,body ,23,Original Herbal Body Moisturizer,4.8,852,https://www.ulta.com/original-herbal-body-moisturizer?productId=xlsImpprod3070153
Duke Cannon Supply Co,body ,7.99,Big American Bourbon Soap,4.9,846,https://www.ulta.com/big-american-bourbon-soap?productId=xlsImpprod17361143
Ralph Lauren,cologne,90,Polo Red Rush Eau de Toilette,4.6,840,https://www.ulta.com/polo-red-rush-eau-de-toilette?productId=xlsImpprod18811027
Murad,skincare,30,Clarifying Cleanser,4.2,777,https://www.ulta.com/clarifying-cleanser?productId=prod2082345
Aveeno,body ,12.99,Skin Relief 24HR Moisturizing Lotion,4.2,744,https://www.ulta.com/skin-relief-24hr-moisturizing-lotion?productId=xlsImpprod640022
Nioxin,hair,19.5,"Scalp & Hair Leave-In Treatment System 2 (Fine/Progressed Thinning, Natural Hair)",4.4,720,https://www.ulta.com/scalp-hair-leave-in-treatment-system-2-fineprogressed-thinning-natural-hair?productId=xlsImpprod4450383
Nioxin,hair,51,"Scalp Therapy Conditioner, System 2 (Fine/Progressed Thinning, Natural Hair)",4.4,720,https://www.ulta.com/scalp-therapy-conditioner-system-2-fineprogressed-thinning-natural-hair?productId=xlsImpprod4450359
Nioxin,hair,42,"Cleanser Shampoo, System 2 (Fine/Progressed Thinning, Natural Hair)",4.4,720,https://www.ulta.com/cleanser-shampoo-system-2-fineprogressed-thinning-natural-hair?productId=xlsImpprod4450335
Jack Black,skincare,8,Intense Therapy Lip Balm SPF 25,4.7,711,https://www.ulta.com/intense-therapy-lip-balm-spf-25?productId=xlsImpprod3730169
Duke Cannon Supply Co,cologne,24.99,Solid Cologne - Bourbon,4.8,590,https://www.ulta.com/solid-cologne-bourbon?productId=pimprod2000412
Tigi,hair,19.5,Bed Head for Men Matte Separation Workable Wax,4.6,548,https://www.ulta.com/bed-head-men-matte-separation-workable-wax?productId=xlsImpprod11201021
Clinique,skincare,16.5,Acne Solutions Cleansing Bar for Face & Body,4.7,535,https://www.ulta.com/acne-solutions-cleansing-bar-face-body?productId=xlsImpprod10791851
Ralph Lauren,cologne,99,Polo Blue Gold Blend Eau de Parfum,4.4,472,https://www.ulta.com/polo-blue-gold-blend-eau-de-parfum?productId=pimprod2005207
Peter Thomas Roth,skincare,38,Instant FIRMx Eye,3.6,446,https://www.ulta.com/instant-firmx-eye?productId=xlsImpprod4160051
